"gsid","index_no","station","district","year","month","day","max_temp"
"168","1319","Biratnagar Airport","Morang","2015","03","29","31.4"
"168","1319","Biratnagar Airport","Morang","2015","03","30","30.5"
"168","1319","Biratnagar Airport","Morang","2015","03","31","30.2"
"168","1319","Biratnagar Airport","Morang","2015","04","01","32.5"
"168","1319","Biratnagar Airport","Morang","2015","04","02","32.5"
"168","1319","Biratnagar Airport","Morang","2015","04","03","29.5"
"168","1319","Biratnagar Airport","Morang","2015","04","04","33"
"168","1319","Biratnagar Airport","Morang","2015","04","05","31.4"
"168","1319","Biratnagar Airport","Morang","2015","04","06","33"
"168","1319","Biratnagar Airport","Morang","2015","04","07","33"
"168","1319","Biratnagar Airport","Morang","2015","04","08","34"
"168","1319","Biratnagar Airport","Morang","2015","04","09","34.9"
"168","1319","Biratnagar Airport","Morang","2015","04","10","34.5"
"168","1319","Biratnagar Airport","Morang","2015","04","11","33.5"
"168","1319","Biratnagar Airport","Morang","2015","04","12","32.6"
"168","1319","Biratnagar Airport","Morang","2015","04","13","31.6"
"168","1319","Biratnagar Airport","Morang","2015","04","14","34"
"168","1319","Biratnagar Airport","Morang","2015","04","15","34.2"
"168","1319","Biratnagar Airport","Morang","2015","04","16","36.5"
"168","1319","Biratnagar Airport","Morang","2015","04","17","36.2"
"168","1319","Biratnagar Airport","Morang","2015","04","18","24.5"
"168","1319","Biratnagar Airport","Morang","2015","04","19","29.5"
"168","1319","Biratnagar Airport","Morang","2015","04","20","32.2"
"168","1319","Biratnagar Airport","Morang","2015","04","21","31.6"
"168","1319","Biratnagar Airport","Morang","2015","04","22","31"
"168","1319","Biratnagar Airport","Morang","2015","04","23","31"
"168","1319","Biratnagar Airport","Morang","2015","04","24","29.5"
"168","1319","Biratnagar Airport","Morang","2015","04","25","26.6"
"168","1319","Biratnagar Airport","Morang","2015","04","26","28.2"
"168","1319","Biratnagar Airport","Morang","2015","04","27","31.6"
"168","1319","Biratnagar Airport","Morang","2015","04","28","30.5"
"168","1319","Biratnagar Airport","Morang","2015","04","29","29.2"
"168","1319","Biratnagar Airport","Morang","2015","04","30","31.5"
"168","1319","Biratnagar Airport","Morang","2015","05","01","32.5"
"168","1319","Biratnagar Airport","Morang","2015","05","02","33"
"168","1319","Biratnagar Airport","Morang","2015","05","03","33"
"168","1319","Biratnagar Airport","Morang","2015","05","04","36"
"168","1319","Biratnagar Airport","Morang","2015","05","05","36.6"
"168","1319","Biratnagar Airport","Morang","2015","05","06","33.8"
"168","1319","Biratnagar Airport","Morang","2015","05","07","33"
"168","1319","Biratnagar Airport","Morang","2015","05","08","31.8"
"168","1319","Biratnagar Airport","Morang","2015","05","09","33.2"
"168","1319","Biratnagar Airport","Morang","2015","05","10","34"
"168","1319","Biratnagar Airport","Morang","2015","05","11","32.5"
"168","1319","Biratnagar Airport","Morang","2015","05","12","32.5"
"168","1319","Biratnagar Airport","Morang","2015","05","13","34"
"168","1319","Biratnagar Airport","Morang","2015","05","14","35.5"
"168","1319","Biratnagar Airport","Morang","2015","05","15","36.4"
"168","1319","Biratnagar Airport","Morang","2015","05","16","33"
"168","1319","Biratnagar Airport","Morang","2015","05","17","32.6"
"168","1319","Biratnagar Airport","Morang","2015","05","18","32"
"168","1319","Biratnagar Airport","Morang","2015","05","19","33"
"168","1319","Biratnagar Airport","Morang","2015","05","20","33"
"168","1319","Biratnagar Airport","Morang","2015","05","21","34.3"
"168","1319","Biratnagar Airport","Morang","2015","05","22","34.2"
"168","1319","Biratnagar Airport","Morang","2015","05","23","34"
"168","1319","Biratnagar Airport","Morang","2015","05","24","31"
"168","1319","Biratnagar Airport","Morang","2015","05","25","32.3"
"168","1319","Biratnagar Airport","Morang","2015","05","26","32"
"168","1319","Biratnagar Airport","Morang","2015","05","27","32"
"168","1319","Biratnagar Airport","Morang","2015","05","28","32.3"
"168","1319","Biratnagar Airport","Morang","2015","05","29","32"
"168","1319","Biratnagar Airport","Morang","2015","05","30","31.5"
"168","1319","Biratnagar Airport","Morang","2015","05","31","31.6"
"168","1319","Biratnagar Airport","Morang","2015","06","01","31.6"
"168","1319","Biratnagar Airport","Morang","2015","06","02","33.7"
"168","1319","Biratnagar Airport","Morang","2015","06","03","34.3"
"168","1319","Biratnagar Airport","Morang","2015","06","04","36.4"
"168","1319","Biratnagar Airport","Morang","2015","06","05","37"
"168","1319","Biratnagar Airport","Morang","2015","06","06","35.6"
"168","1319","Biratnagar Airport","Morang","2015","06","07","34.5"
"168","1319","Biratnagar Airport","Morang","2015","06","08","34.4"
"168","1319","Biratnagar Airport","Morang","2015","06","09","34.5"
"168","1319","Biratnagar Airport","Morang","2015","06","10","29.3"
"168","1319","Biratnagar Airport","Morang","2015","06","11","31"
"168","1319","Biratnagar Airport","Morang","2015","06","12","30"
"168","1319","Biratnagar Airport","Morang","2015","06","13","30.5"
"168","1319","Biratnagar Airport","Morang","2015","06","14","31.6"
"168","1319","Biratnagar Airport","Morang","2015","06","15","33.2"
"168","1319","Biratnagar Airport","Morang","2015","06","16","34.3"
"168","1319","Biratnagar Airport","Morang","2015","06","17","34.3"
"168","1319","Biratnagar Airport","Morang","2015","06","18","35.3"
"168","1319","Biratnagar Airport","Morang","2015","06","19","34.3"
"168","1319","Biratnagar Airport","Morang","2015","06","20","35.4"
"168","1319","Biratnagar Airport","Morang","2015","06","21","34.6"
"168","1319","Biratnagar Airport","Morang","2015","06","22","34.5"
"168","1319","Biratnagar Airport","Morang","2015","06","23","31.6"
"168","1319","Biratnagar Airport","Morang","2015","06","24","32.5"
"168","1319","Biratnagar Airport","Morang","2015","06","25","35"
"168","1319","Biratnagar Airport","Morang","2015","06","26","31.5"
"168","1319","Biratnagar Airport","Morang","2015","06","27","31.6"
"168","1319","Biratnagar Airport","Morang","2015","06","28","28.6"
