"gsid","index_no","station","district","year","month","day","min_temp"
"168","1319","Biratnagar Airport","Morang","2015","03","30","19.6"
"168","1319","Biratnagar Airport","Morang","2015","03","31","18.2"
"168","1319","Biratnagar Airport","Morang","2015","04","01","19.4"
"168","1319","Biratnagar Airport","Morang","2015","04","02","20.5"
"168","1319","Biratnagar Airport","Morang","2015","04","03","20.6"
"168","1319","Biratnagar Airport","Morang","2015","04","04","19.7"
"168","1319","Biratnagar Airport","Morang","2015","04","05","19.5"
"168","1319","Biratnagar Airport","Morang","2015","04","06","19.2"
"168","1319","Biratnagar Airport","Morang","2015","04","07","21.2"
"168","1319","Biratnagar Airport","Morang","2015","04","08","21.7"
"168","1319","Biratnagar Airport","Morang","2015","04","09","19.5"
"168","1319","Biratnagar Airport","Morang","2015","04","10","18.4"
"168","1319","Biratnagar Airport","Morang","2015","04","11","22.4"
"168","1319","Biratnagar Airport","Morang","2015","04","12","21.5"
"168","1319","Biratnagar Airport","Morang","2015","04","13","20.7"
"168","1319","Biratnagar Airport","Morang","2015","04","14","21.5"
"168","1319","Biratnagar Airport","Morang","2015","04","15","21.5"
"168","1319","Biratnagar Airport","Morang","2015","04","16","23.9"
"168","1319","Biratnagar Airport","Morang","2015","04","17","21.5"
"168","1319","Biratnagar Airport","Morang","2015","04","18","18.5"
"168","1319","Biratnagar Airport","Morang","2015","04","19","19.5"
"168","1319","Biratnagar Airport","Morang","2015","04","20","21.3"
"168","1319","Biratnagar Airport","Morang","2015","04","21","22.5"
"168","1319","Biratnagar Airport","Morang","2015","04","22","21"
"168","1319","Biratnagar Airport","Morang","2015","04","23","27"
"168","1319","Biratnagar Airport","Morang","2015","04","24","23.7"
"168","1319","Biratnagar Airport","Morang","2015","04","25","18.8"
"168","1319","Biratnagar Airport","Morang","2015","04","26","20.4"
"168","1319","Biratnagar Airport","Morang","2015","04","27","19.3"
"168","1319","Biratnagar Airport","Morang","2015","04","28","22.2"
"168","1319","Biratnagar Airport","Morang","2015","04","29","20.4"
"168","1319","Biratnagar Airport","Morang","2015","04","30","21.3"
"168","1319","Biratnagar Airport","Morang","2015","05","01","23.3"
"168","1319","Biratnagar Airport","Morang","2015","05","02","24.5"
"168","1319","Biratnagar Airport","Morang","2015","05","03","22.4"
"168","1319","Biratnagar Airport","Morang","2015","05","04","22.5"
"168","1319","Biratnagar Airport","Morang","2015","05","05","21.9"
"168","1319","Biratnagar Airport","Morang","2015","05","06","25.3"
"168","1319","Biratnagar Airport","Morang","2015","05","07","25.2"
"168","1319","Biratnagar Airport","Morang","2015","05","08","24"
"168","1319","Biratnagar Airport","Morang","2015","05","09","24.4"
"168","1319","Biratnagar Airport","Morang","2015","05","10","24.2"
"168","1319","Biratnagar Airport","Morang","2015","05","11","24.6"
"168","1319","Biratnagar Airport","Morang","2015","05","12","25.6"
"168","1319","Biratnagar Airport","Morang","2015","05","13","23.2"
"168","1319","Biratnagar Airport","Morang","2015","05","14","24.2"
"168","1319","Biratnagar Airport","Morang","2015","05","15","25.7"
"168","1319","Biratnagar Airport","Morang","2015","05","16","26"
"168","1319","Biratnagar Airport","Morang","2015","05","17","24.2"
"168","1319","Biratnagar Airport","Morang","2015","05","18","22.5"
"168","1319","Biratnagar Airport","Morang","2015","05","19","24.8"
"168","1319","Biratnagar Airport","Morang","2015","05","20","23.5"
"168","1319","Biratnagar Airport","Morang","2015","05","21","26.7"
"168","1319","Biratnagar Airport","Morang","2015","05","22","25.5"
"168","1319","Biratnagar Airport","Morang","2015","05","23","26.7"
"168","1319","Biratnagar Airport","Morang","2015","05","24","22"
"168","1319","Biratnagar Airport","Morang","2015","05","25","25.3"
"168","1319","Biratnagar Airport","Morang","2015","05","26","20.3"
"168","1319","Biratnagar Airport","Morang","2015","05","27","22.8"
"168","1319","Biratnagar Airport","Morang","2015","05","28","24.8"
"168","1319","Biratnagar Airport","Morang","2015","05","29","25.9"
"168","1319","Biratnagar Airport","Morang","2015","05","30","24.4"
"168","1319","Biratnagar Airport","Morang","2015","05","31","25.9"
"168","1319","Biratnagar Airport","Morang","2015","06","01","25.5"
"168","1319","Biratnagar Airport","Morang","2015","06","02","24.3"
"168","1319","Biratnagar Airport","Morang","2015","06","03","27.4"
"168","1319","Biratnagar Airport","Morang","2015","06","04","25"
"168","1319","Biratnagar Airport","Morang","2015","06","05","28"
"168","1319","Biratnagar Airport","Morang","2015","06","06","26"
"168","1319","Biratnagar Airport","Morang","2015","06","07","27.3"
"168","1319","Biratnagar Airport","Morang","2015","06","08","27.7"
"168","1319","Biratnagar Airport","Morang","2015","06","09","27.1"
"168","1319","Biratnagar Airport","Morang","2015","06","10","25"
"168","1319","Biratnagar Airport","Morang","2015","06","11","24.3"
"168","1319","Biratnagar Airport","Morang","2015","06","12","24.2"
"168","1319","Biratnagar Airport","Morang","2015","06","13","24.5"
"168","1319","Biratnagar Airport","Morang","2015","06","14","23.5"
"168","1319","Biratnagar Airport","Morang","2015","06","15","25"
"168","1319","Biratnagar Airport","Morang","2015","06","16","25"
"168","1319","Biratnagar Airport","Morang","2015","06","17","25.3"
"168","1319","Biratnagar Airport","Morang","2015","06","18","26.3"
"168","1319","Biratnagar Airport","Morang","2015","06","19","24.3"
"168","1319","Biratnagar Airport","Morang","2015","06","20","26.8"
"168","1319","Biratnagar Airport","Morang","2015","06","21","27.5"
"168","1319","Biratnagar Airport","Morang","2015","06","22","26.3"
"168","1319","Biratnagar Airport","Morang","2015","06","23","25.9"
"168","1319","Biratnagar Airport","Morang","2015","06","24","26.5"
"168","1319","Biratnagar Airport","Morang","2015","06","25","27"
"168","1319","Biratnagar Airport","Morang","2015","06","26","26"
"168","1319","Biratnagar Airport","Morang","2015","06","27","24.5"
"168","1319","Biratnagar Airport","Morang","2015","06","28","25.4"
"168","1319","Biratnagar Airport","Morang","2015","06","29","25.3"
"168","1319","Biratnagar Airport","Morang","2015","06","30","26.5"
"168","1319","Biratnagar Airport","Morang","2015","07","01","25"
"168","1319","Biratnagar Airport","Morang","2015","07","02","26.7"
"168","1319","Biratnagar Airport","Morang","2015","07","03","26.7"
"168","1319","Biratnagar Airport","Morang","2015","07","04","25.4"
"168","1319","Biratnagar Airport","Morang","2015","07","05","25.5"
